city,lat,lng,population,city_clean
Chikushino,33.4874,130.5258,103185,Chikushino
Inzai,35.8323,140.1457,103084,Inzai
Hōyachō,35.7415,139.5589,102720,Hoyacho
Otaru,43.1907,140.9944,102652,Otaru
Isehara,35.4029,139.315,102088,Isehara
Shibuya,35.6536,139.7092,102056,Shibuya
Ōnojō,33.5131,130.4792,101603,Onojo
Sakado,35.9573,139.403,100829,Sakado
Kawachinagano,34.4581,135.5641,100415,Kawachinagano
Kani,35.4261,137.0613,99545,Kani
Ōmura,32.9006,129.9575,99337,Omura
Izumisano,34.4069,135.3275,99328,Izumisano
Ginowan,26.2815,127.7785,99256,Ginowan
Sakata,38.9149,139.8367,99235,Sakata
Itoshima,33.5573,130.1955,98527,Itoshima
Chikusei,36.3071,139.9831,98384,Chikusei
Kanoya,31.3783,130.8522,98367,Kanoya
Saku,36.2488,138.4769,98292,Saku
Chitose,42.821,141.6509,97945,Chitose
Tsuyama,35.0639,134.0043,97507,Tsuyama
Kōnan,35.3321,136.8707,97435,Konan
Munakata,33.8055,130.5408,97041,Munakata
Iida,35.5148,137.8218,96642,Iida
Kamisu,35.8899,140.6645,95471,Kamisu
Shimada,34.8363,138.1761,95198,Shimada
Kanuma,36.5671,139.7451,94591,Kanuma
Shibata,37.9479,139.3273,94258,Shibata
Ashiya,34.7486,135.2975,94116,Ashiya
Azumino,36.3039,137.9056,93927,Azumino
Sanjō,37.6368,138.9617,93671,Sanjo
Inagi,35.6379,139.5046,93394,Inagi
Yashio,35.8225,139.8392,93283,Yashio
Yotsukaidō,35.6698,140.1679,93233,Yotsukaido
Nisshin,35.132,137.0394,92823,Nisshin
Hanamaki Onsen,39.3886,141.1169,92815,Hanamaki Onsen
Kitakami,39.2867,141.1132,92348,Kitakami
Satsumasendai,31.8135,130.304,91875,Satsumasendai
Higashi-Matsuyama,36.0422,139.3999,91818,Higashi-Matsuyama
Imizuchō,36.7306,137.0756,90201,Imizucho
Mihara,34.3974,133.0787,89972,Mihara
Kōka,34.9028,136.2158,89619,Koka
Mobara,35.4285,140.2881,88330,Mobara
Sakai,36.1669,136.2314,87945,Sakai
Ama,35.2004,136.7832,87668,Ama
Takasagochō-takasemachi,34.7465,134.8021,86888,Takasagocho-takasemachi
Fukuroi,34.7502,137.9247,86851,Fukuroi
Gotenba,35.3087,138.9346,86334,Gotenba
Settsu,34.7773,135.5618,86168,Settsu
Kitanagoya,35.2457,136.866,86060,Kitanagoya
Kameoka,35.0135,135.5735,85962,Kameoka
Iga,34.7499,136.1423,85883,Iga
Sekimachi,35.4958,136.9179,85636,Sekimachi
Takayama,36.146,137.2522,85199,Takayama
Yokotemachi,39.3137,140.5666,84556,Yokotemachi
Ushiku,35.9794,140.1496,84505,Ushiku
Komae,35.6348,139.5787,84437,Komae
Kaizuka,34.4376,135.3585,84356,Kaizuka
Higashiyamato,35.7454,139.4265,84260,Higashiyamato
Ayase,35.4371,139.4261,84257,Ayase
Wakō,35.7812,139.6057,84120,Wako
Kitakōriyamachō,34.6493,135.7827,84007,Kitakoriyamacho
Chita,34.9966,136.8647,83881,Chita
Moriyama,35.0589,135.9942,83567,Moriyama
Nakatsu,33.5983,131.1883,82714,Nakatsu
Owariasahi,35.2165,137.0354,82336,Owariasahi
Shikokuchūō,33.9807,133.5492,82320,Shikokuchuo
Muroran,42.3152,140.974,81580,Muroran
Ōmihachiman,35.1283,136.0981,81545,Omihachiman
Kashiwazaki,37.3649,138.5579,81027,Kashiwazaki
Yonezawa,37.9222,140.1167,80795,Yonezawa
Nagaoka,34.9268,135.6958,80423,Nagaoka
Echizen,35.9035,136.1687,80264,Echizen
Hannō,35.8556,139.3278,80099,Hanno
Gamagōri,34.8264,137.2197,80063,Gamagori
Akiruno,35.7289,139.2941,79600,Akiruno
Iwamizawa,43.1962,141.7759,79361,Iwamizawa
Natori-shi,38.1715,140.8918,79250,Natori-shi
Nakatsugawa,35.4875,137.5006,78930,Nakatsugawa
Maizuru,35.4748,135.386,78730,Maizuru
Mooka,36.4404,140.0134,78665,Mooka
